Id	EnName	Description	Length	DateTime
62	ABHORRENT		9	2024-12-23 23:43:00.0000000
63	ABIDDEN		7	2024-12-23 23:43:00.0000000
64	ABIDE		5	2024-12-23 23:43:00.0000000
65	ABIDED		6	2024-12-23 23:43:00.0000000
66	ABIDING		7	2024-12-23 23:43:00.0000000
67	ABIGAIL		7	2024-12-23 23:43:00.0000000
68	ABIL		4	2024-12-23 23:43:00.0000000
69	ABILITIES		9	2024-12-23 23:43:00.0000000
70	ABILITY		7	2024-12-23 23:43:00.0000000
71	ABJECT		6	2024-12-23 23:43:00.0000000
72	ABJECTLY		8	2024-12-23 23:43:00.0000000
73	ABJURE		6	2024-12-23 23:43:00.0000000
74	ABLATE		6	2024-12-23 23:43:00.0000000
75	ABLATIVE		8	2024-12-23 23:43:00.0000000
76	ABLE		4	2024-12-23 23:43:00.0000000
77	ABLY		4	2024-12-23 23:43:00.0000000
78	ABNER		5	2024-12-23 23:43:00.0000000
79	ABNOR		5	2024-12-23 23:43:00.0000000
80	ABNORMAL		8	2024-12-23 23:43:00.0000000
81	ABOARD		6	2024-12-23 23:43:00.0000000
82	ABODE		5	2024-12-23 23:43:00.0000000
83	ABOLISH		7	2024-12-23 23:43:00.0000000
84	ABOLISHING		10	2024-12-23 23:43:00.0000000
85	ABOLITION		9	2024-12-23 23:43:00.0000000
86	ABOMINABLE		10	2024-12-23 23:43:00.0000000
87	ABOMINABLY		10	2024-12-23 23:43:00.0000000
88	ABOMINATES		10	2024-12-23 23:43:00.0000000
89	ABOR		4	2024-12-23 23:43:00.0000000
90	ABORIGINES		10	2024-12-23 23:43:00.0000000
91	ABORNING		8	2024-12-23 23:43:00.0000000
92	ABORTED		7	2024-12-23 23:43:00.0000000
93	ABORTING		8	2024-12-23 23:43:00.0000000
94	ABORTION		8	2024-12-23 23:43:00.0000000
95	ABORTIONS		9	2024-12-23 23:43:00.0000000
96	ABORTIVE		8	2024-12-23 23:43:00.0000000
97	ABOUND		6	2024-12-23 23:43:00.0000000
98	ABOUNDED		8	2024-12-23 23:43:00.0000000
99	ABOUNDETH		9	2024-12-23 23:43:00.0000000
100	ABOUNDING		9	2024-12-23 23:43:00.0000000
101	ABOUNDS		7	2024-12-23 23:43:00.0000000
102	ABOUT		5	2024-12-23 23:43:00.0000000
103	ABOUTE		6	2024-12-23 23:43:00.0000000
104	ABOVE		5	2024-12-23 23:43:00.0000000
105	ABRA		4	2024-12-23 23:43:00.0000000
106	ABRACADABRA		11	2024-12-23 23:43:00.0000000
107	ABRAHAM		7	2024-12-23 23:43:00.0000000
108	ABRAM		5	2024-12-23 23:43:00.0000000
109	ABRAMS		6	2024-12-23 23:43:00.0000000
110	ABRASION		8	2024-12-23 23:43:00.0000000
111	ABRASIONS		9	2024-12-23 23:43:00.0000000
112	ABRIDGE		7	2024-12-23 23:43:00.0000000
113	ABRIDGEABLE		11	2024-12-23 23:43:00.0000000
114	ABRIDGED		8	2024-12-23 23:43:00.0000000
115	ABRIDGEMENT		11	2024-12-23 23:43:00.0000000
116	ABRIDGMENT		10	2024-12-23 23:43:00.0000000
117	ABRIDGMENTS		11	2024-12-23 23:43:00.0000000
118	ABROAD		6	2024-12-23 23:43:00.0000000
119	ABRUPT		6	2024-12-23 23:43:00.0000000
120	ABRUPTLY		8	2024-12-23 23:43:00.0000000
121	ABRUPTNESS		10	2024-12-23 23:43:00.0000000
122	ABSENCE		7	2024-12-23 23:43:00.0000000
123	ABSENCES		8	2024-12-23 23:43:00.0000000
124	ABSENT		6	2024-12-23 23:43:00.0000000
125	ABSENTEE		8	2024-12-23 23:43:00.0000000
126	ABSENTLY		8	2024-12-23 23:43:00.0000000
127	ABSENTMINDED		12	2024-12-23 23:43:00.0000000
128	ABSO		4	2024-12-23 23:43:00.0000000
129	ABSOLUTE		8	2024-12-23 23:43:00.0000000
130	ABSOLUTELY		10	2024-12-23 23:43:00.0000000
131	ABSOLUTES		9	2024-12-23 23:43:00.0000000
132	ABSOLUTION		10	2024-12-23 23:43:00.0000000
133	ABSOLUTIST		10	2024-12-23 23:43:00.0000000
134	ABSOLUTISTS		11	2024-12-23 23:43:00.0000000
135	ABSOLVE		7	2024-12-23 23:43:00.0000000
136	ABSOLVED		8	2024-12-23 23:43:00.0000000
137	ABSOLVING		9	2024-12-23 23:43:00.0000000
138	ABSORB		6	2024-12-23 23:43:00.0000000
139	ABSORBED		8	2024-12-23 23:43:00.0000000
140	ABSORBERS		9	2024-12-23 23:43:00.0000000
141	ABSORPTIVE		10	2024-12-23 23:43:00.0000000
142	ABSTAIN		7	2024-12-23 23:43:00.0000000
143	ABSTAINED		9	2024-12-23 23:43:00.0000000
144	ABSTAINING		10	2024-12-23 23:43:00.0000000
145	ABSTRAC		7	2024-12-23 23:43:00.0000000
146	ABSTRACT		8	2024-12-23 23:43:00.0000000
147	ABSTRACTED		10	2024-12-23 23:43:00.0000000
148	ABSTRACTING		11	2024-12-23 23:43:00.0000000
149	ABSTRACTION		11	2024-12-23 23:43:00.0000000
150	ABSTRACTIONS		12	2024-12-23 23:43:00.0000000
151	ABSTRACTNESS		12	2024-12-23 23:43:00.0000000
152	ABSTRACTS		9	2024-12-23 23:43:00.0000000
153	ABSTRUSE		8	2024-12-23 23:43:00.0000000
154	ABSURD		6	2024-12-23 23:43:00.0000000
155	ABSURDITIES		11	2024-12-23 23:43:00.0000000
156	ABSURDITY		9	2024-12-23 23:43:00.0000000
157	ABU		3	2024-12-23 23:43:00.0000000
158	ABUN		4	2024-12-23 23:43:00.0000000
159	ABUNDANCE		9	2024-12-23 23:43:00.0000000
160	ABUNDANT		8	2024-12-23 23:43:00.0000000
161	ABUNDANTLY		10	2024-12-23 23:43:00.0000000
162	ABUSAGE		7	2024-12-23 23:43:00.0000000
163	ABUSE		5	2024-12-23 23:43:00.0000000
164	ABUSED		6	2024-12-23 23:43:00.0000000
165	ABUSER		6	2024-12-23 23:43:00.0000000
166	ABUSES		6	2024-12-23 23:43:00.0000000
167	ABUSING		7	2024-12-23 23:43:00.0000000
168	ABUT		4	2024-12-23 23:43:00.0000000
169	ABUTS		5	2024-12-23 23:43:00.0000000
170	ABUTTED		7	2024-12-23 23:43:00.0000000
171	ABUTTING		8	2024-12-23 23:43:00.0000000
172	ABVERB		6	2024-12-23 23:43:00.0000000
173	ABYS		4	2024-12-23 23:43:00.0000000
174	ABYSM		5	2024-12-23 23:43:00.0000000
175	ABYSMAL		7	2024-12-23 23:43:00.0000000
176	ABYSMS		6	2024-12-23 23:43:00.0000000
177	ABYSS		5	2024-12-23 23:43:00.0000000
178	ABYSSAL		7	2024-12-23 23:43:00.0000000
179	ABYSSINIAN		10	2024-12-23 23:43:00.0000000
180	ABYSSINIANS		11	2024-12-23 23:43:00.0000000
181	ABZUG		5	2024-12-23 23:43:00.0000000
182	AC		2	2024-12-23 23:43:00.0000000
183	ACA		3	2024-12-23 23:43:00.0000000
184	ACAD		4	2024-12-23 23:43:00.0000000
185	ACADEM		6	2024-12-23 23:43:00.0000000
186	ACADEME		7	2024-12-23 23:43:00.0000000
187	ACADEMES		8	2024-12-23 23:43:00.0000000
188	ACADEMESE		9	2024-12-23 23:43:00.0000000
189	ACADEMIA		8	2024-12-23 23:43:00.0000000
190	ACADEMIC		8	2024-12-23 23:43:00.0000000
191	ACADEMICALLY		12	2024-12-23 23:43:00.0000000
192	ACADEMICIANS		12	2024-12-23 23:43:00.0000000
193	ACADEMICS		9	2024-12-23 23:43:00.0000000
194	ACADEMIES		9	2024-12-23 23:43:00.0000000
195	ACADEMUS		8	2024-12-23 23:43:00.0000000
196	ACADEMY		7	2024-12-23 23:43:00.0000000
197	ACADEMYS		8	2024-12-23 23:43:00.0000000
198	ACCEDE		6	2024-12-23 23:43:00.0000000
199	ACCEDED		7	2024-12-23 23:43:00.0000000
200	ACCEL		5	2024-12-23 23:43:00.0000000
201	ACCELERATE		10	2024-12-23 23:43:00.0000000
202	ACCELERATED		11	2024-12-23 23:43:00.0000000
203	ACCELERATING		12	2024-12-23 23:43:00.0000000
204	ACCELERATION		12	2024-12-23 23:43:00.0000000
205	ACCEN		5	2024-12-23 23:43:00.0000000
206	ACCENT		6	2024-12-23 23:43:00.0000000
207	ACCENTED		8	2024-12-23 23:43:00.0000000
208	ACCENTING		9	2024-12-23 23:43:00.0000000
209	ACCENTLESS		10	2024-12-23 23:43:00.0000000
210	ACCENTS		7	2024-12-23 23:43:00.0000000
211	ACCENTUAL		9	2024-12-23 23:43:00.0000000
212	ACCENTUATE		10	2024-12-23 23:43:00.0000000
213	ACCENTUATED		11	2024-12-23 23:43:00.0000000
214	ACCENTUATES		11	2024-12-23 23:43:00.0000000
215	ACCEP		5	2024-12-23 23:43:00.0000000
216	ACCEPT		6	2024-12-23 23:43:00.0000000
217	ACCEPTA		7	2024-12-23 23:43:00.0000000
218	ACCEPTABILITY		13	2024-12-23 23:43:00.0000000
219	ACCEPTABLE		10	2024-12-23 23:43:00.0000000
220	ACCEPTABLY		10	2024-12-23 23:43:00.0000000
221	ACCEPTANCE		10	2024-12-23 23:43:00.0000000
222	ACCEPTANCES		11	2024-12-23 23:43:00.0000000
223	ACCEPTATION		11	2024-12-23 23:43:00.0000000
224	ACCEPTATIONS		12	2024-12-23 23:43:00.0000000
225	ACCEPTED		8	2024-12-23 23:43:00.0000000
226	ACCEPTING		9	2024-12-23 23:43:00.0000000
227	ACCEPTS		7	2024-12-23 23:43:00.0000000
228	ACCES		5	2024-12-23 23:43:00.0000000
229	ACCESS		6	2024-12-23 23:43:00.0000000
230	ACCESSIBLE		10	2024-12-23 23:43:00.0000000
231	ACCESSION		9	2024-12-23 23:43:00.0000000
232	ACCESSIONS		10	2024-12-23 23:43:00.0000000
233	ACCESSORIES		11	2024-12-23 23:43:00.0000000
234	ACCESSORIZE		11	2024-12-23 23:43:00.0000000
235	ACCESSORIZED		12	2024-12-23 23:43:00.0000000
236	ACCESSORIZING		13	2024-12-23 23:43:00.0000000
237	ACCI		4	2024-12-23 23:43:00.0000000
238	ACCIDENCE		9	2024-12-23 23:43:00.0000000
239	ACCIDENT		8	2024-12-23 23:43:00.0000000
240	ACCIDENTAL		10	2024-12-23 23:43:00.0000000
241	ACCIDENTALLY		12	2024-12-23 23:43:00.0000000
242	ACCIDENTLY		10	2024-12-23 23:43:00.0000000
243	ACCIDENTS		9	2024-12-23 23:43:00.0000000
244	ACCLAIM		7	2024-12-23 23:43:00.0000000
245	ACCLAIMED		9	2024-12-23 23:43:00.0000000
246	ACCOM		5	2024-12-23 23:43:00.0000000
247	ACCOMMO		7	2024-12-23 23:43:00.0000000
248	ACCOMMODATE		11	2024-12-23 23:43:00.0000000
249	ACCOMMODATED		12	2024-12-23 23:43:00.0000000
250	ACCOMMODATES		12	2024-12-23 23:43:00.0000000
251	ACCOMMODATION		13	2024-12-23 23:43:00.0000000
252	ACCOMMODATIONS		14	2024-12-23 23:43:00.0000000
253	ACCOMODATE		10	2024-12-23 23:43:00.0000000
254	ACCOMODATED		11	2024-12-23 23:43:00.0000000
255	ACCOMODATES		11	2024-12-23 23:43:00.0000000
256	ACCOMPANIED		11	2024-12-23 23:43:00.0000000
257	ACCOMPANIES		11	2024-12-23 23:43:00.0000000
258	ACCOMPANIMENT		13	2024-12-23 23:43:00.0000000
259	ACCOMPANIST		11	2024-12-23 23:43:00.0000000
260	ACCOMPANY		9	2024-12-23 23:43:00.0000000
261	ACCOMPANYING		12	2024-12-23 23:43:00.0000000
262	ACCOMPANYIST		12	2024-12-23 23:43:00.0000000
263	ACCOMPLICE		10	2024-12-23 23:43:00.0000000
264	ACCOMPLISH		10	2024-12-23 23:43:00.0000000
265	ACCOMPLISHED		12	2024-12-23 23:43:00.0000000
266	ACCOMPLISHES		12	2024-12-23 23:43:00.0000000
267	ACCOMPLISHING		13	2024-12-23 23:43:00.0000000
268	ACCOMPLISHMENT		14	2024-12-23 23:43:00.0000000
269	ACCOMPLISHMENTS		15	2024-12-23 23:43:00.0000000
270	ACCOR		5	2024-12-23 23:43:00.0000000
271	ACCORD		6	2024-12-23 23:43:00.0000000
272	ACCORDANCE		10	2024-12-23 23:43:00.0000000
273	ACCORDED		8	2024-12-23 23:43:00.0000000
274	ACCORDING		9	2024-12-23 23:43:00.0000000
275	ACCORDINGLY		11	2024-12-23 23:43:00.0000000
276	ACCORDS		7	2024-12-23 23:43:00.0000000
277	ACCOSTED		8	2024-12-23 23:43:00.0000000
278	ACCOSTING		9	2024-12-23 23:43:00.0000000
279	ACCOUN		6	2024-12-23 23:43:00.0000000
280	ACCOUNT		7	2024-12-23 23:43:00.0000000
281	ACCOUNTABLE		11	2024-12-23 23:43:00.0000000
282	ACCOUNTANCY		11	2024-12-23 23:43:00.0000000
283	ACCOUNTANT		10	2024-12-23 23:43:00.0000000
284	ACCOUNTANTS		11	2024-12-23 23:43:00.0000000
285	ACCOUNTED		9	2024-12-23 23:43:00.0000000
286	ACCOUNTING		10	2024-12-23 23:43:00.0000000
287	ACCOUNTS		8	2024-12-23 23:43:00.0000000
288	ACCOUTRE		8	2024-12-23 23:43:00.0000000
289	ACCRETE		7	2024-12-23 23:43:00.0000000
290	ACCRETION		9	2024-12-23 23:43:00.0000000
291	ACCRUE		6	2024-12-23 23:43:00.0000000
292	ACCRUED		7	2024-12-23 23:43:00.0000000
293	ACCRUES		7	2024-12-23 23:43:00.0000000
294	ACCRUING		8	2024-12-23 23:43:00.0000000
295	ACCU		4	2024-12-23 23:43:00.0000000
296	ACCUMU		6	2024-12-23 23:43:00.0000000
297	ACCUMULATE		10	2024-12-23 23:43:00.0000000
298	ACCUMULATED		11	2024-12-23 23:43:00.0000000
299	ACCUMULATION		12	2024-12-23 23:43:00.0000000
300	ACCURACY		8	2024-12-23 23:43:00.0000000
301	ACCURATE		8	2024-12-23 23:43:00.0000000
302	ACCURATELY		10	2024-12-23 23:43:00.0000000
303	ACCUS		5	2024-12-23 23:43:00.0000000
304	ACCUSATION		10	2024-12-23 23:43:00.0000000
305	ACCUSATIONS		11	2024-12-23 23:43:00.0000000
306	ACCUSATIVE		10	2024-12-23 23:43:00.0000000
307	ACCUSE		6	2024-12-23 23:43:00.0000000
308	ACCUSED		7	2024-12-23 23:43:00.0000000
309	ACCUSES		7	2024-12-23 23:43:00.0000000
310	ACCUSING		8	2024-12-23 23:43:00.0000000
311	ACCUSTOM		8	2024-12-23 23:43:00.0000000
312	ACCUSTOMED		10	2024-12-23 23:43:00.0000000
313	ACE		3	2024-12-23 23:43:00.0000000
314	ACH		3	2024-12-23 23:43:00.0000000
315	ACHE		4	2024-12-23 23:43:00.0000000
316	ACHESON		7	2024-12-23 23:43:00.0000000
317	ACHIEVABLE		10	2024-12-23 23:43:00.0000000
318	ACHIEVE		7	2024-12-23 23:43:00.0000000
319	ACHIEVED		8	2024-12-23 23:43:00.0000000
320	ACHIEVEMENT		11	2024-12-23 23:43:00.0000000
321	ACHIEVEMENTS		12	2024-12-23 23:43:00.0000000
322	ACHIEVES		8	2024-12-23 23:43:00.0000000
323	ACHIEVING		9	2024-12-23 23:43:00.0000000
324	ACHILLES		8	2024-12-23 23:43:00.0000000
325	ACID		4	2024-12-23 23:43:00.0000000
326	ACIDS		5	2024-12-23 23:43:00.0000000
327	ACKERLEY		8	2024-12-23 23:43:00.0000000
328	ACKERMAN		8	2024-12-23 23:43:00.0000000
329	ACKNOWL		7	2024-12-23 23:43:00.0000000
330	ACKNOWLEDG		10	2024-12-23 23:43:00.0000000
331	ACKNOWLEDGE		11	2024-12-23 23:43:00.0000000
332	ACKNOWLEDGED		12	2024-12-23 23:43:00.0000000
333	ACKNOWLEDGES		12	2024-12-23 23:43:00.0000000
334	ACKNOWLEDGING		13	2024-12-23 23:43:00.0000000
335	ACKNOWLEDGMENT		14	2024-12-23 23:43:00.0000000
336	ACKOMERDATE		11	2024-12-23 23:43:00.0000000
337	ACKROYD		7	2024-12-23 23:43:00.0000000
338	ACLE		4	2024-12-23 23:43:00.0000000
339	ACLS		4	2024-12-23 23:43:00.0000000
340	ACME		4	2024-12-23 23:43:00.0000000
341	ACOLYTES		8	2024-12-23 23:43:00.0000000
342	ACOUSTICAL		10	2024-12-23 23:43:00.0000000
343	ACOUSTICS		9	2024-12-23 23:43:00.0000000
344	ACQUAIN		7	2024-12-23 23:43:00.0000000
345	ACQUAINT		8	2024-12-23 23:43:00.0000000
346	ACQUAINTANCE		12	2024-12-23 23:43:00.0000000
347	ACQUAINTANCES		13	2024-12-23 23:43:00.0000000
348	ACQUAINTANCESHIP		16	2024-12-23 23:43:00.0000000
349	ACQUAINTED		10	2024-12-23 23:43:00.0000000
350	ACQUAINTS		9	2024-12-23 23:43:00.0000000
351	ACQUI		5	2024-12-23 23:43:00.0000000
352	ACQUIESCE		9	2024-12-23 23:43:00.0000000
353	ACQUIESCED		10	2024-12-23 23:43:00.0000000
354	ACQUIESCENCE		12	2024-12-23 23:43:00.0000000
355	ACQUIESCES		10	2024-12-23 23:43:00.0000000
356	ACQUIR		6	2024-12-23 23:43:00.0000000
357	ACQUIRE		7	2024-12-23 23:43:00.0000000
358	ACQUIRED		8	2024-12-23 23:43:00.0000000
359	ACQUIRES		8	2024-12-23 23:43:00.0000000
360	ACQUIRING		9	2024-12-23 23:43:00.0000000
361	ACQUISITION		11	2024-12-23 23:43:00.0000000
362	ACQUISITIONS		12	2024-12-23 23:43:00.0000000
363	ACQUIT		6	2024-12-23 23:43:00.0000000
364	ACQUITTED		9	2024-12-23 23:43:00.0000000
365	ACRE		4	2024-12-23 23:43:00.0000000
366	ACRES		5	2024-12-23 23:43:00.0000000
367	ACRI		4	2024-12-23 23:43:00.0000000
368	ACRID		5	2024-12-23 23:43:00.0000000
369	ACRIMONIOUSLY		13	2024-12-23 23:43:00.0000000
370	ACRIMONY		8	2024-12-23 23:43:00.0000000
371	ACRO		4	2024-12-23 23:43:00.0000000
372	ACRONYM		7	2024-12-23 23:43:00.0000000
373	ACRONYMS		8	2024-12-23 23:43:00.0000000
374	ACROPOLIS		9	2024-12-23 23:43:00.0000000
375	ACROSS		6	2024-12-23 23:43:00.0000000
376	ACT		3	2024-12-23 23:43:00.0000000
377	ACTED		5	2024-12-23 23:43:00.0000000
378	ACTER		5	2024-12-23 23:43:00.0000000
379	ACTERISTIC		10	2024-12-23 23:43:00.0000000
380	ACTERIZATION		12	2024-12-23 23:43:00.0000000
381	ACTERIZED		9	2024-12-23 23:43:00.0000000
382	ACTERIZES		9	2024-12-23 23:43:00.0000000
383	ACTERS		6	2024-12-23 23:43:00.0000000
384	ACTING		6	2024-12-23 23:43:00.0000000
385	ACTION		6	2024-12-23 23:43:00.0000000
386	ACTIONS		7	2024-12-23 23:43:00.0000000
387	ACTIV		5	2024-12-23 23:43:00.0000000
388	ACTIVATE		8	2024-12-23 23:43:00.0000000
389	ACTIVATED		9	2024-12-23 23:43:00.0000000
390	ACTIVATES		9	2024-12-23 23:43:00.0000000
391	ACTIVATING		10	2024-12-23 23:43:00.0000000
392	ACTIVE		6	2024-12-23 23:43:00.0000000
393	ACTIVELY		8	2024-12-23 23:43:00.0000000
394	ACTIVI		6	2024-12-23 23:43:00.0000000
395	ACTIVIST		8	2024-12-23 23:43:00.0000000
396	ACTIVISTS		9	2024-12-23 23:43:00.0000000
397	ACTIVITIES		10	2024-12-23 23:43:00.0000000
398	ACTIVITY		8	2024-12-23 23:43:00.0000000
399	ACTOFTEN		8	2024-12-23 23:43:00.0000000
400	ACTOR		5	2024-12-23 23:43:00.0000000
401	ACTORS		6	2024-12-23 23:43:00.0000000
402	ACTRESS		7	2024-12-23 23:43:00.0000000
403	ACTRESSES		9	2024-12-23 23:43:00.0000000
404	ACTS		4	2024-12-23 23:43:00.0000000
405	ACTU		4	2024-12-23 23:43:00.0000000
406	ACTUAL		6	2024-12-23 23:43:00.0000000
407	ACTUALITIES		11	2024-12-23 23:43:00.0000000
408	ACTUALITY		9	2024-12-23 23:43:00.0000000
409	ACTUALLY		8	2024-12-23 23:43:00.0000000
410	ACTUARIAL		9	2024-12-23 23:43:00.0000000
411	ACTUARY		7	2024-12-23 23:43:00.0000000
412	ACTUATE		7	2024-12-23 23:43:00.0000000
413	ACTUATED		8	2024-12-23 23:43:00.0000000
414	ACUTE		5	2024-12-23 23:43:00.0000000
415	ACUTELY		7	2024-12-23 23:43:00.0000000
416	ACUTENESS		9	2024-12-23 23:43:00.0000000
417	ACY		3	2024-12-23 23:43:00.0000000
418	AD		2	2024-12-23 23:43:00.0000000
419	ADA		3	2024-12-23 23:43:00.0000000
420	ADAGE		5	2024-12-23 23:43:00.0000000
421	ADAIR		5	2024-12-23 23:43:00.0000000
422	ADAM		4	2024-12-23 23:43:00.0000000
423	ADAMANT		7	2024-12-23 23:43:00.0000000
424	ADAMS		5	2024-12-23 23:43:00.0000000
425	ADAMSON		7	2024-12-23 23:43:00.0000000
426	ADAMSS		6	2024-12-23 23:43:00.0000000
427	ADAP		4	2024-12-23 23:43:00.0000000
428	ADAPT		5	2024-12-23 23:43:00.0000000
429	ADAPTA		6	2024-12-23 23:43:00.0000000
430	ADAPTABILITY		12	2024-12-23 23:43:00.0000000
431	ADAPTATION		10	2024-12-23 23:43:00.0000000
432	ADAPTATIONIST		13	2024-12-23 23:43:00.0000000
433	ADAPTATIONS		11	2024-12-23 23:43:00.0000000
434	ADAPTED		7	2024-12-23 23:43:00.0000000
435	ADAPTER		7	2024-12-23 23:43:00.0000000
436	ADAPTING		8	2024-12-23 23:43:00.0000000
437	ADAPTOR		7	2024-12-23 23:43:00.0000000
438	ADAPTS		6	2024-12-23 23:43:00.0000000
439	ADAYS		5	2024-12-23 23:43:00.0000000
440	ADD		3	2024-12-23 23:43:00.0000000
441	ADDAMS		6	2024-12-23 23:43:00.0000000
442	ADDED		5	2024-12-23 23:43:00.0000000
443	ADDENDA		7	2024-12-23 23:43:00.0000000
444	ADDERLEY		8	2024-12-23 23:43:00.0000000
445	ADDI		4	2024-12-23 23:43:00.0000000
446	ADDICT		6	2024-12-23 23:43:00.0000000
447	ADDICTED		8	2024-12-23 23:43:00.0000000
448	ADDICTION		9	2024-12-23 23:43:00.0000000
449	ADDICTS		7	2024-12-23 23:43:00.0000000
450	ADDING		6	2024-12-23 23:43:00.0000000
451	ADDINGTON		9	2024-12-23 23:43:00.0000000
452	ADDISON		7	2024-12-23 23:43:00.0000000
453	ADDISONS		8	2024-12-23 23:43:00.0000000
454	ADDITION		8	2024-12-23 23:43:00.0000000
455	ADDITIONAL		10	2024-12-23 23:43:00.0000000
456	ADDITIONALLY		12	2024-12-23 23:43:00.0000000
457	ADDITIONS		9	2024-12-23 23:43:00.0000000
458	ADDITIVE		8	2024-12-23 23:43:00.0000000
459	ADDLED		6	2024-12-23 23:43:00.0000000
460	ADDRESS		7	2024-12-23 23:43:00.0000000
461	ADDRESSED		9	2024-12-23 23:43:00.0000000
462	ADDRESSEES		10	2024-12-23 23:43:00.0000000
463	ADDRESSES		9	2024-12-23 23:43:00.0000000
464	ADDRESSING		10	2024-12-23 23:43:00.0000000
465	ADDS		4	2024-12-23 23:43:00.0000000
466	ADDUCED		7	2024-12-23 23:43:00.0000000
467	ADDUCES		7	2024-12-23 23:43:00.0000000
468	ADE		3	2024-12-23 23:43:00.0000000
469	ADELAIDE		8	2024-12-23 23:43:00.0000000
470	ADELE		5	2024-12-23 23:43:00.0000000
471	ADELPHIA		8	2024-12-23 23:43:00.0000000
472	ADEPT		5	2024-12-23 23:43:00.0000000
473	ADEPTS		6	2024-12-23 23:43:00.0000000
474	ADEQUACY		8	2024-12-23 23:43:00.0000000
475	ADEQUATE		8	2024-12-23 23:43:00.0000000
476	ADEQUATELY		10	2024-12-23 23:43:00.0000000
477	ADES		4	2024-12-23 23:43:00.0000000
478	ADHE		4	2024-12-23 23:43:00.0000000
479	ADHERE		6	2024-12-23 23:43:00.0000000
480	ADHERED		7	2024-12-23 23:43:00.0000000
481	ADHERENCE		9	2024-12-23 23:43:00.0000000
482	ADHERENT		8	2024-12-23 23:43:00.0000000
483	ADHERENTS		9	2024-12-23 23:43:00.0000000
484	ADHERES		7	2024-12-23 23:43:00.0000000
485	ADHERING		8	2024-12-23 23:43:00.0000000
486	ADHESION		8	2024-12-23 23:43:00.0000000
487	ADHESIVE		8	2024-12-23 23:43:00.0000000
488	ADIEL		5	2024-12-23 23:43:00.0000000
