Id	BgName	Description	Length	DateTime
91	АГЕНЦИЯ		7	2024-12-24 00:36:00.0000000
92	АГИТАТОР		8	2024-12-24 00:36:00.0000000
93	АГИТАЦИОНЕН		11	2024-12-24 00:36:00.0000000
94	АГИТАЦИЯ		8	2024-12-24 00:36:00.0000000
95	АГИТИРАМ		8	2024-12-24 00:36:00.0000000
96	АГИТПРОПЧИК		11	2024-12-24 00:36:00.0000000
97	АГОНИЗИРАМ		10	2024-12-24 00:36:00.0000000
98	АГОНИЯ		6	2024-12-24 00:36:00.0000000
99	АГРАРЕН		7	2024-12-24 00:36:00.0000000
100	АГРЕГАТ		7	2024-12-24 00:36:00.0000000
101	АГРЕСИВЕН		9	2024-12-24 00:36:00.0000000
102	АГРЕСИВНОСТ		11	2024-12-24 00:36:00.0000000
103	АГРЕСИЯ		7	2024-12-24 00:36:00.0000000
104	АГРЕСОР		7	2024-12-24 00:36:00.0000000
105	АГРИКУЛТУРА		11	2024-12-24 00:36:00.0000000
106	АД		2	2024-12-24 00:36:00.0000000
107	АДАМОВО		7	2024-12-24 00:36:00.0000000
108	АДАПТАЦИЯ		9	2024-12-24 00:36:00.0000000
109	АДВОКАТ		7	2024-12-24 00:36:00.0000000
110	АДЕКВАТЕН		9	2024-12-24 00:36:00.0000000
111	АДЕПТ		5	2024-12-24 00:36:00.0000000
112	АДЕТ		4	2024-12-24 00:36:00.0000000
113	АДЖАМИЯ		7	2024-12-24 00:36:00.0000000
114	АДМИНИСТРАТИВЕН		15	2024-12-24 00:36:00.0000000
115	АДМИНИСТРАТОР		13	2024-12-24 00:36:00.0000000
116	АДМИНИСТРАЦИЯ		13	2024-12-24 00:36:00.0000000
117	АДМИНИСТРИРАМ		13	2024-12-24 00:36:00.0000000
118	АДМИРАЦИЯ		9	2024-12-24 00:36:00.0000000
119	АДМИРИРАМ		9	2024-12-24 00:36:00.0000000
120	АДОПТИРАМ		9	2024-12-24 00:36:00.0000000
121	АДРАВАН		7	2024-12-24 00:36:00.0000000
122	АДРЕС		5	2024-12-24 00:36:00.0000000
123	АДРЕСАНТ		8	2024-12-24 00:36:00.0000000
124	АДРЕСАТ		7	2024-12-24 00:36:00.0000000
125	АДРЕСИРАМ		9	2024-12-24 00:36:00.0000000
126	АДСКИ		5	2024-12-24 00:36:00.0000000
127	АДЯ		3	2024-12-24 00:36:00.0000000
128	АЕРОДИНАМИКА		12	2024-12-24 00:36:00.0000000
129	АЕРОДРУМ		8	2024-12-24 00:36:00.0000000
130	АЕРОЛОГИЯ		9	2024-12-24 00:36:00.0000000
131	АЕРОМЕХАНИКА		12	2024-12-24 00:36:00.0000000
132	АЕРОПЛАН		8	2024-12-24 00:36:00.0000000
133	АЕРОПРИСТАНИЕ		13	2024-12-24 00:36:00.0000000
134	АЕРОСТАТИКА		11	2024-12-24 00:36:00.0000000
135	АЗ		2	2024-12-24 00:36:00.0000000
136	АЗБУКА		6	2024-12-24 00:36:00.0000000
137	АЗБУЧНИК		8	2024-12-24 00:36:00.0000000
138	АЙБА		4	2024-12-24 00:36:00.0000000
139	АЙКА		4	2024-12-24 00:36:00.0000000
140	АЙКАДЖИЙСТВО		12	2024-12-24 00:36:00.0000000
141	АЙКАДЖИЯ		8	2024-12-24 00:36:00.0000000
142	АЙЛЯК		5	2024-12-24 00:36:00.0000000
143	АЙРАН		5	2024-12-24 00:36:00.0000000
144	АКА		3	2024-12-24 00:36:00.0000000
145	АКАДЕМИК		8	2024-12-24 00:36:00.0000000
146	АКАДЕМИЧЕН		10	2024-12-24 00:36:00.0000000
147	АКАДЕМИЧЕСКИ		12	2024-12-24 00:36:00.0000000
148	АКЛАМАЦИИ		9	2024-12-24 00:36:00.0000000
149	АКЛАМАЦИЯ		9	2024-12-24 00:36:00.0000000
150	АКЛАМИРАМ		9	2024-12-24 00:36:00.0000000
151	АКЛАМИРАН		9	2024-12-24 00:36:00.0000000
152	АКЛИМАТИЗАЦИЯ		13	2024-12-24 00:36:00.0000000
153	АКЛИМАТИЗИРАМ		13	2024-12-24 00:36:00.0000000
154	АКЛИМАТИЗИРАМСЕ		15	2024-12-24 00:36:00.0000000
155	АКЛИМАТИЗИРАН		13	2024-12-24 00:36:00.0000000
156	АКО		3	2024-12-24 00:36:00.0000000
157	АКОИ		4	2024-12-24 00:36:00.0000000
158	АКОИДА		6	2024-12-24 00:36:00.0000000
159	АКОЛСУН		7	2024-12-24 00:36:00.0000000
160	АКОМОДАЦИЯ		10	2024-12-24 00:36:00.0000000
161	АКОМПАНИМЕНТ		12	2024-12-24 00:36:00.0000000
162	АКОМПАНИРАМ		11	2024-12-24 00:36:00.0000000
163	АКОРД		5	2024-12-24 00:36:00.0000000
164	АКОРДИРАМ		9	2024-12-24 00:36:00.0000000
165	АКОСТИРАМ		9	2024-12-24 00:36:00.0000000
166	АКРЕДИТИРАН		11	2024-12-24 00:36:00.0000000
167	АКРОБАТ		7	2024-12-24 00:36:00.0000000
168	АКСИОМА		7	2024-12-24 00:36:00.0000000
169	АКТ		3	2024-12-24 00:36:00.0000000
170	АКТИВ		5	2024-12-24 00:36:00.0000000
171	АКТИВЕН		7	2024-12-24 00:36:00.0000000
172	АКТИВИ		6	2024-12-24 00:36:00.0000000
173	АКТИВИЗИРА		10	2024-12-24 00:36:00.0000000
174	АКТИВИЗИРАЕЛЕМЕНТ		17	2024-12-24 00:36:00.0000000
175	АКТИВИЗИРАМ		11	2024-12-24 00:36:00.0000000
176	АКТИВИЗИРАН		11	2024-12-24 00:36:00.0000000
177	АКТИВИЗИРАНЕ		12	2024-12-24 00:36:00.0000000
178	АКТИВИСТ		8	2024-12-24 00:36:00.0000000
179	АКТИВНО		7	2024-12-24 00:36:00.0000000
180	АКТИВНОСТ		9	2024-12-24 00:36:00.0000000
181	АКТОР		5	2024-12-24 00:36:00.0000000
182	АКТУАЛЕН		8	2024-12-24 00:36:00.0000000
183	АКТУАЛИЗИРАМ		12	2024-12-24 00:36:00.0000000
184	АКТУАЛНОСТ		10	2024-12-24 00:36:00.0000000
185	АКТУАЛНОСТТА		12	2024-12-24 00:36:00.0000000
186	АКТУАЛНОТО		10	2024-12-24 00:36:00.0000000
187	АКУЕРКА		7	2024-12-24 00:36:00.0000000
188	АКУИРАМ		7	2024-12-24 00:36:00.0000000
189	АКУЛА		5	2024-12-24 00:36:00.0000000
190	АКУРАТЕН		8	2024-12-24 00:36:00.0000000
191	АКУРАТНОСТ		10	2024-12-24 00:36:00.0000000
192	АКУСТИКА		8	2024-12-24 00:36:00.0000000
193	АКЦЕНТ		6	2024-12-24 00:36:00.0000000
194	АКЦЕНТИРАНЕ		11	2024-12-24 00:36:00.0000000
195	АКЦЕНТУВАМ		10	2024-12-24 00:36:00.0000000
196	АКЦИДЕНТ		8	2024-12-24 00:36:00.0000000
197	АКЦИДЕНТЕН		10	2024-12-24 00:36:00.0000000
198	АКЦИЗ		5	2024-12-24 00:36:00.0000000
199	АКЦИЯ		5	2024-12-24 00:36:00.0000000
200	АКЪЛ		4	2024-12-24 00:36:00.0000000
201	АКЪЛА		5	2024-12-24 00:36:00.0000000
202	АЛ		2	2024-12-24 00:36:00.0000000
203	АЛА		3	2024-12-24 00:36:00.0000000
204	АЛАДИСВАМ		9	2024-12-24 00:36:00.0000000
205	АЛАРМА		6	2024-12-24 00:36:00.0000000
206	АЛАРМИРАМ		9	2024-12-24 00:36:00.0000000
207	АЛБУМ		5	2024-12-24 00:36:00.0000000
208	АЛЕГОРИЧЕН		10	2024-12-24 00:36:00.0000000
209	АЛЕГОРИЯ		8	2024-12-24 00:36:00.0000000
210	АЛЕН		4	2024-12-24 00:36:00.0000000
211	АЛЕНОЧЕРВЕН		11	2024-12-24 00:36:00.0000000
212	АЛИБИ		5	2024-12-24 00:36:00.0000000
213	АЛИНЕЯ		6	2024-12-24 00:36:00.0000000
214	АЛКОХОЛ		7	2024-12-24 00:36:00.0000000
215	АЛКОХОЛИЗЪМ		11	2024-12-24 00:36:00.0000000
216	АЛКОХОЛИК		9	2024-12-24 00:36:00.0000000
217	АЛМАНАХ		7	2024-12-24 00:36:00.0000000
218	АЛОГИЧЕН		8	2024-12-24 00:36:00.0000000
219	АЛОПЕЦИЯ		8	2024-12-24 00:36:00.0000000
220	АЛПИНИЗЪМ		9	2024-12-24 00:36:00.0000000
221	АЛПИНИСТ		8	2024-12-24 00:36:00.0000000
222	АЛТЕРНАТИВА		11	2024-12-24 00:36:00.0000000
223	АЛТОВ		5	2024-12-24 00:36:00.0000000
224	АЛТОВОБОЙ		9	2024-12-24 00:36:00.0000000
225	АЛТРУИЗЪМ		9	2024-12-24 00:36:00.0000000
226	АЛТРУИСТ		8	2024-12-24 00:36:00.0000000
227	АЛФА		4	2024-12-24 00:36:00.0000000
228	АЛФАИОМЕГА		10	2024-12-24 00:36:00.0000000
229	АЛЧЕ		4	2024-12-24 00:36:00.0000000
230	АЛЧЕН		5	2024-12-24 00:36:00.0000000
231	АЛЧНОСТ		7	2024-12-24 00:36:00.0000000
232	АЛЪ		3	2024-12-24 00:36:00.0000000
233	АЛЮЗИЯ		6	2024-12-24 00:36:00.0000000
234	АМА		3	2024-12-24 00:36:00.0000000
235	АМАЛГАМА		8	2024-12-24 00:36:00.0000000
236	АМАН		4	2024-12-24 00:36:00.0000000
237	АМАНДУРА		8	2024-12-24 00:36:00.0000000
238	АМАР		4	2024-12-24 00:36:00.0000000
239	АМАТОР		6	2024-12-24 00:36:00.0000000
240	АМАТОРСТВО		10	2024-12-24 00:36:00.0000000
241	АМБАЛАЖ		7	2024-12-24 00:36:00.0000000
242	АМБАЛИРАМ		9	2024-12-24 00:36:00.0000000
243	АМБИЦИОЗЕН		10	2024-12-24 00:36:00.0000000
244	АМБИЦИРАМ		9	2024-12-24 00:36:00.0000000
245	АМБИЦИРАН		9	2024-12-24 00:36:00.0000000
246	АМБИЦИЯ		7	2024-12-24 00:36:00.0000000
247	АМБРАЗУРА		9	2024-12-24 00:36:00.0000000
248	АМБУЛАТОРИЯ		11	2024-12-24 00:36:00.0000000
249	АМЕБА		5	2024-12-24 00:36:00.0000000
250	АМИ		3	2024-12-24 00:36:00.0000000
251	АМНИСТИРАМ		10	2024-12-24 00:36:00.0000000
252	АМНИСТИЯ		8	2024-12-24 00:36:00.0000000
253	АМО		3	2024-12-24 00:36:00.0000000
254	АМОРАЛЕН		8	2024-12-24 00:36:00.0000000
255	АМОРАЛНОСТ		10	2024-12-24 00:36:00.0000000
256	АМОРТИЗАЦИЯ		11	2024-12-24 00:36:00.0000000
257	АМОРТИЗИРАМ		11	2024-12-24 00:36:00.0000000
258	АМОРТИЗИРАН		11	2024-12-24 00:36:00.0000000
259	АМОРФЕН		7	2024-12-24 00:36:00.0000000
260	АМОРФНОСТ		9	2024-12-24 00:36:00.0000000
261	АМПА		4	2024-12-24 00:36:00.0000000
262	АМПОСВАМ		8	2024-12-24 00:36:00.0000000
263	АМПОСВАНЕ		9	2024-12-24 00:36:00.0000000
264	АМПУТАЦИЯ		9	2024-12-24 00:36:00.0000000
265	АМУЛЕТ		6	2024-12-24 00:36:00.0000000
266	АМУНИЦИЯ		8	2024-12-24 00:36:00.0000000
267	АНАЛИ		5	2024-12-24 00:36:00.0000000
268	АНАЛИЗ		6	2024-12-24 00:36:00.0000000
269	АНАЛИЗИРАМ		10	2024-12-24 00:36:00.0000000
270	АНАЛИЗИРАН		10	2024-12-24 00:36:00.0000000
271	АНАЛИЗИРАНЕ		11	2024-12-24 00:36:00.0000000
272	АНАЛИТИЧЕН		10	2024-12-24 00:36:00.0000000
273	АНАЛОГ		6	2024-12-24 00:36:00.0000000
274	АНАЛОГИЧЕН		10	2024-12-24 00:36:00.0000000
275	АНАЛОГИЯ		8	2024-12-24 00:36:00.0000000
276	АНАРХИСТИЧЕН		12	2024-12-24 00:36:00.0000000
277	АНАРХИЯ		7	2024-12-24 00:36:00.0000000
278	АНАТ		4	2024-12-24 00:36:00.0000000
279	АНАТЕМА		7	2024-12-24 00:36:00.0000000
280	АНАТЕМОСАН		10	2024-12-24 00:36:00.0000000
281	АНАТЕМОСВАМ		11	2024-12-24 00:36:00.0000000
282	АНАТЕМОСВАН		11	2024-12-24 00:36:00.0000000
283	АНАТОМИЯ		8	2024-12-24 00:36:00.0000000
284	АНАХРОНИЗЪМ		11	2024-12-24 00:36:00.0000000
285	АНАХРОНИЧЕН		11	2024-12-24 00:36:00.0000000
286	АНБЛОК		6	2024-12-24 00:36:00.0000000
287	АНГА		4	2024-12-24 00:36:00.0000000
288	АНГАЖИМЕНТ		10	2024-12-24 00:36:00.0000000
289	АНГАЖИРАМ		9	2024-12-24 00:36:00.0000000
290	АНГАЖИРАМСЕ		11	2024-12-24 00:36:00.0000000
291	АНГАЖИРАН		9	2024-12-24 00:36:00.0000000
292	АНГАЖИРАНЕ		10	2024-12-24 00:36:00.0000000
293	АНГАРИЯ		7	2024-12-24 00:36:00.0000000
294	АНГЕЛИТЕ		8	2024-12-24 00:36:00.0000000
295	АНГЕЛСКИ		8	2024-12-24 00:36:00.0000000
296	АНГИНА		6	2024-12-24 00:36:00.0000000
297	АНГЛИЙСКИ		9	2024-12-24 00:36:00.0000000
298	АНГЛИЙСКИРОГ		12	2024-12-24 00:36:00.0000000
299	АНД		3	2024-12-24 00:36:00.0000000
300	АНДЖАК		6	2024-12-24 00:36:00.0000000
301	АНЕКДОТ		7	2024-12-24 00:36:00.0000000
302	АНЕКС		5	2024-12-24 00:36:00.0000000
303	АНЕКСИРАН		9	2024-12-24 00:36:00.0000000
304	АНЕКСИЯ		7	2024-12-24 00:36:00.0000000
305	АНЕМИЧЕН		8	2024-12-24 00:36:00.0000000
306	АНЕМИЯ		6	2024-12-24 00:36:00.0000000
307	АНЕСТЕЗИЯ		9	2024-12-24 00:36:00.0000000
308	АНЕСТЕТИЧЕН		11	2024-12-24 00:36:00.0000000
309	АНКЕТА		6	2024-12-24 00:36:00.0000000
310	АНКЕТИРАМ		9	2024-12-24 00:36:00.0000000
311	АНКЕТИРАНЕ		10	2024-12-24 00:36:00.0000000
312	АНКЕТОР		7	2024-12-24 00:36:00.0000000
313	АНОМАЛИЯ		8	2024-12-24 00:36:00.0000000
314	АНОНИМЕН		8	2024-12-24 00:36:00.0000000
315	АНОНС		5	2024-12-24 00:36:00.0000000
316	АНОНСИРАМ		9	2024-12-24 00:36:00.0000000
317	АНОРМАЛЕН		9	2024-12-24 00:36:00.0000000
318	АНОРМАЛНОСТ		11	2024-12-24 00:36:00.0000000
319	АНС		3	2024-12-24 00:36:00.0000000
320	АНСАМБЪЛ		8	2024-12-24 00:36:00.0000000
321	АНТАВ		5	2024-12-24 00:36:00.0000000
322	АНТАВОСТ		8	2024-12-24 00:36:00.0000000
323	АНТАГОНИЗЪМ		11	2024-12-24 00:36:00.0000000
324	АНТАГОНИСТ		10	2024-12-24 00:36:00.0000000
325	АНТАГОНИСТИЧЕН		14	2024-12-24 00:36:00.0000000
326	АНТАЖ		5	2024-12-24 00:36:00.0000000
327	АНТИКА		6	2024-12-24 00:36:00.0000000
328	АНТИПАТИЧЕН		11	2024-12-24 00:36:00.0000000
329	АНТИПАТИЯ		9	2024-12-24 00:36:00.0000000
330	АНТИПОД		7	2024-12-24 00:36:00.0000000
331	АНТИСЕПТИЧЕН		12	2024-12-24 00:36:00.0000000
332	АНТИСОЦИАЛЕН		12	2024-12-24 00:36:00.0000000
333	АНТИТЕЗА		8	2024-12-24 00:36:00.0000000
334	АНТИХРИСТ		9	2024-12-24 00:36:00.0000000
335	АНТИЧЕН		7	2024-12-24 00:36:00.0000000
336	АНТИЧНОСТ		9	2024-12-24 00:36:00.0000000
337	АНТОЛОГИЯ		9	2024-12-24 00:36:00.0000000
338	АНТРАКТ		7	2024-12-24 00:36:00.0000000
339	АНТРЕ		5	2024-12-24 00:36:00.0000000
340	АНТРЕПОЗИТ		10	2024-12-24 00:36:00.0000000
341	АНТРЕФИЛЕ		9	2024-12-24 00:36:00.0000000
342	АНТУРАЖ		7	2024-12-24 00:36:00.0000000
343	АНУЛИРАМ		8	2024-12-24 00:36:00.0000000
344	АНУЛИРАН		8	2024-12-24 00:36:00.0000000
345	АНУЛИРАНЕ		9	2024-12-24 00:36:00.0000000
346	АНЮИТЕТ		7	2024-12-24 00:36:00.0000000
347	АПА		3	2024-12-24 00:36:00.0000000
348	АПАРАТ		6	2024-12-24 00:36:00.0000000
349	АПАРАТНО		8	2024-12-24 00:36:00.0000000
350	АПАРАТНООСИГУРЯВАНЕ		19	2024-12-24 00:36:00.0000000
351	АПАРАТУРА		9	2024-12-24 00:36:00.0000000
352	АПАРТАМЕНТ		10	2024-12-24 00:36:00.0000000
353	АПАТИТ		6	2024-12-24 00:36:00.0000000
354	АПАТИЧЕН		8	2024-12-24 00:36:00.0000000
355	АПАТИЧНО		8	2024-12-24 00:36:00.0000000
356	АПАТИЧНОСТ		10	2024-12-24 00:36:00.0000000
357	АПАТИЯ		6	2024-12-24 00:36:00.0000000
358	АПЕЛ		4	2024-12-24 00:36:00.0000000
359	АПЕЛАТОР		8	2024-12-24 00:36:00.0000000
360	АПЕЛИРАМ		8	2024-12-24 00:36:00.0000000
361	АПЕТИТ		6	2024-12-24 00:36:00.0000000
362	АПЕТИТЕН		8	2024-12-24 00:36:00.0000000
363	АПКА		4	2024-12-24 00:36:00.0000000
364	АПЛЕТ		5	2024-12-24 00:36:00.0000000
365	АПЛИКИРАМ		9	2024-12-24 00:36:00.0000000
366	АПЛОДИРАМ		9	2024-12-24 00:36:00.0000000
367	АПЛОДИСМЕНТИ		12	2024-12-24 00:36:00.0000000
368	АПЛОМБ		6	2024-12-24 00:36:00.0000000
369	АПОГЕЙ		6	2024-12-24 00:36:00.0000000
370	АПОЛИТИЧЕН		10	2024-12-24 00:36:00.0000000
371	АПОЛОГЕТ		8	2024-12-24 00:36:00.0000000
372	АПОЛОГИЯ		8	2024-12-24 00:36:00.0000000
373	АПОПЛЕКСИЯ		10	2024-12-24 00:36:00.0000000
374	АПОПЛЕКТИЧЕН		12	2024-12-24 00:36:00.0000000
375	АПОПЛЕКТИЧЕНУДАР		16	2024-12-24 00:36:00.0000000
376	АПОРТ		5	2024-12-24 00:36:00.0000000
377	АПОСТЕРИОРЕН		12	2024-12-24 00:36:00.0000000
378	АПОСТЕРИОРИ		11	2024-12-24 00:36:00.0000000
379	АПОСТОЛ		7	2024-12-24 00:36:00.0000000
380	АПОСТРОФ		8	2024-12-24 00:36:00.0000000
381	АПОСТРОФИРАМ		12	2024-12-24 00:36:00.0000000
382	АПОТЕОЗ		7	2024-12-24 00:36:00.0000000
383	АПРЕТИРАНЕ		10	2024-12-24 00:36:00.0000000
384	АПРЕТУРА		8	2024-12-24 00:36:00.0000000
385	АПРОПО		6	2024-12-24 00:36:00.0000000
386	АРАБАДЖИЯ		9	2024-12-24 00:36:00.0000000
387	АРАЛЪК		6	2024-12-24 00:36:00.0000000
388	АРАНЖИРАНЕ		10	2024-12-24 00:36:00.0000000
389	АРАНЖИРАНЕЗАОРКЕСТЪР		20	2024-12-24 00:36:00.0000000
390	АРАПИН		6	2024-12-24 00:36:00.0000000
391	АРБИТРАЖ		8	2024-12-24 00:36:00.0000000
392	АРБИТРАЖЕН		10	2024-12-24 00:36:00.0000000
393	АРБИТРАЖЕНСЪД		13	2024-12-24 00:36:00.0000000
394	АРБИТРИРАНЕ		11	2024-12-24 00:36:00.0000000
395	АРБИТЪР		7	2024-12-24 00:36:00.0000000
396	АРГАТИН		7	2024-12-24 00:36:00.0000000
397	АРГУМЕНТ		8	2024-12-24 00:36:00.0000000
398	АРГУМЕНТАЦИЯ		12	2024-12-24 00:36:00.0000000
399	АРГУМЕНТИ		9	2024-12-24 00:36:00.0000000
400	АРГУМЕНТИРАМ		12	2024-12-24 00:36:00.0000000
401	АРГУМЕНТИРАН		12	2024-12-24 00:36:00.0000000
402	АРГУМЕНТИРАНОСТ		15	2024-12-24 00:36:00.0000000
403	АРГУМЕНТИРОВКА		14	2024-12-24 00:36:00.0000000
404	АРЕН		4	2024-12-24 00:36:00.0000000
405	АРЕНА		5	2024-12-24 00:36:00.0000000
406	АРЕНИЯ		6	2024-12-24 00:36:00.0000000
407	АРЕНОСТ		7	2024-12-24 00:36:00.0000000
408	АРЕСТ		5	2024-12-24 00:36:00.0000000
409	АРЕСТАНТ		8	2024-12-24 00:36:00.0000000
410	АРЕСТУВАМ		9	2024-12-24 00:36:00.0000000
411	АРЕСТУВАН		9	2024-12-24 00:36:00.0000000
412	АРИН		4	2024-12-24 00:36:00.0000000
413	АРИСТОКРАТ		10	2024-12-24 00:36:00.0000000
414	АРИСТОКРАТИ		11	2024-12-24 00:36:00.0000000
415	АРИСТОКРАТИЧЕН		14	2024-12-24 00:36:00.0000000
416	АРИСТОКРАЦИЯ		12	2024-12-24 00:36:00.0000000
417	АРИЯ		4	2024-12-24 00:36:00.0000000
418	АРКА		4	2024-12-24 00:36:00.0000000
419	АРКАДА		6	2024-12-24 00:36:00.0000000
420	АРЛАТАН		7	2024-12-24 00:36:00.0000000
421	АРЛАТАНИИ		9	2024-12-24 00:36:00.0000000
422	АРЛАТАНИН		9	2024-12-24 00:36:00.0000000
423	АРЛАТАНИЯ		9	2024-12-24 00:36:00.0000000
424	АРЛАТАНСКИ		10	2024-12-24 00:36:00.0000000
425	АРЛАТАНСТВО		11	2024-12-24 00:36:00.0000000
426	АРМАГАН		7	2024-12-24 00:36:00.0000000
427	АРМАТУРА		8	2024-12-24 00:36:00.0000000
428	АРМИЯ		5	2024-12-24 00:36:00.0000000
429	АРНАУТИН		8	2024-12-24 00:36:00.0000000
430	АРОГАНТЕН		9	2024-12-24 00:36:00.0000000
431	АРОГАНТНО		9	2024-12-24 00:36:00.0000000
432	АРОГАНТНОСТ		11	2024-12-24 00:36:00.0000000
433	АРОМАТ		6	2024-12-24 00:36:00.0000000
434	АРОМАТЕН		8	2024-12-24 00:36:00.0000000
435	АРОМАТИЗИРАМ		12	2024-12-24 00:36:00.0000000
